date,ndvi,treatment,zone,post,did_term,month
2024-10-01,0.28820072564042754,0,constanta,1,0,10
2024-11-01,0.3026182074040122,0,constanta,1,0,11
2022-01-01,0.22527200677508957,0,braila,0,0,1
2022-02-01,0.09996950850897174,0,braila,0,0,2
2022-03-01,0.2822984828688389,0,braila,0,0,3
2022-04-01,0.3426919375320469,0,braila,0,0,4
2022-05-01,0.40524871683800767,0,braila,0,0,5
2022-06-01,0.4180579346060786,0,braila,0,0,6
2022-07-01,0.35895795046071843,0,braila,0,0,7
2022-08-01,0.3355603601196973,0,braila,0,0,8
2022-09-01,0.3303717116855512,0,braila,0,0,9
2022-10-01,0.2819577870381359,0,braila,0,0,10
2022-11-01,0.2615966997679768,0,braila,0,0,11
2022-12-01,0.29534452499976155,0,braila,0,0,12
2023-01-01,-0.013003419388827904,0,braila,0,0,1
2023-02-01,-0.010045374676992395,0,braila,0,0,2
2023-03-01,0.3308423530512301,0,braila,0,0,3
2023-04-01,0.4403460510124581,0,braila,0,0,4
2023-05-01,0.4434451937453016,0,braila,0,0,5
2023-06-01,0.4389739173808265,0,braila,1,0,6
2023-07-01,0.47607117007096517,0,braila,1,0,7
2023-08-01,0.3471329530667841,0,braila,1,0,8
2023-09-01,0.319793332602338,0,braila,1,0,9
2023-10-01,0.27995884850650676,0,braila,1,0,10
2023-11-01,0.24861619802553,0,braila,1,0,11
2023-12-01,0.27900749167506284,0,braila,1,0,12
2024-01-01,0.2475090575031209,0,braila,1,0,1
2024-02-01,0.2239594971475589,0,braila,1,0,2
2024-03-01,0.3438425654629065,0,braila,1,0,3
2024-04-01,0.4661317526026316,0,braila,1,0,4
2024-05-01,0.5114769226206788,0,braila,1,0,5
2024-06-01,0.44486780141523125,0,braila,1,0,6
2024-07-01,0.42965213849165795,0,braila,1,0,7
2024-08-01,0.36371723737237954,0,braila,1,0,8
2024-09-01,0.3641081069919683,0,braila,1,0,9
2024-10-01,0.31192287026533233,0,braila,1,0,10
2024-11-01,0.39805964987241577,0,braila,1,0,11
